[CLEANUP] removed 43 existing image files from rollout_outputs\episode_000001
[DEBUG] current ee from get_ee_pose = (0.00, 14.74, 9.44) cm
[DEBUG] IK(current ee) = [-0.002687362869719087, -10.001873547968852, -140.00075588457761, 60.002629432546456]
[SCENE] instruction='grasp the blue cylinder' | target_color='blue' | target_xy=(0.076, 0.232) | objects={'red': {'body_name': 'target_object', 'xy': [-0.050859323590297434, 0.18242776161896268], 'yaw': -0.06543029476111506}, 'blue': {'body_name': 'target_object_blue', 'xy': [0.07597137984537713, 0.2324233775929463], 'yaw': -0.5546711094697813}, 'green': {'body_name': 'target_object_green', 'xy': [0.002377650100147538, 0.24487300914872956], 'yaw': -0.01339765180120045}, 'yellow': {'body_name': 'target_object_yellow', 'xy': [0.023637190443957318, 0.19882081586789127], 'yaw': -0.5116409431825885}}
[032] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0263, 0.1971, 0.047] | gripper=0.0 | retries=0
[033] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0263, 0.1968, 0.0464] | gripper=0.0 | retries=0
[034] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0262, 0.1965, 0.0457] | gripper=0.0 | retries=0
[035] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0262, 0.1961, 0.0451] | gripper=0.0 | retries=0
[036] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0261, 0.1958, 0.0445] | gripper=0.0 | retries=0
[037] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0261, 0.1955, 0.0439] | gripper=0.0 | retries=0
[038] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.026, 0.1952, 0.0434] | gripper=0.0 | retries=0
[039] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.026, 0.1949, 0.0428] | gripper=0.0 | retries=0
[040] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.026, 0.1945, 0.0422] | gripper=0.0 | retries=0
[041] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0259, 0.1942, 0.0416] | gripper=0.0 | retries=0
