[CLEANUP] removed 63 existing image files from rollout_outputs\episode_000001
[DEBUG] current ee from get_ee_pose = (0.00, 14.74, 9.44) cm
[DEBUG] IK(current ee) = [-0.002687362869719087, -10.001873547968852, -140.00075588457761, 60.002629432546456]
[SCENE] instruction='grasp the red cylinder' | target_color='red' | target_xy=(0.010, 0.236) | objects={'red': {'body_name': 'target_object', 'xy': [0.009973811459739815, 0.23628057408214753], 'yaw': 0.15031161875357502}, 'blue': {'body_name': 'target_object_blue', 'xy': [0.06438026786401777, 0.23524166855796358], 'yaw': -0.37584977124505964}, 'green': {'body_name': 'target_object_green', 'xy': [-0.003872223554245463, 0.1745882795860017], 'yaw': -0.570213484603048}, 'yellow': {'body_name': 'target_object_yellow', 'xy': [-0.03848765589931942, 0.22300486301716155], 'yaw': 0.2564642116878273}}
[032] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0089, 0.1965, 0.0561] | gripper=0.0 | retries=0
[033] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0089, 0.1962, 0.0555] | gripper=0.0 | retries=0
[034] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0089, 0.1959, 0.0549] | gripper=0.0 | retries=0
[035] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.1957, 0.0543] | gripper=0.0 | retries=0
[036] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.1954, 0.0537] | gripper=0.0 | retries=0
[037] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.1951, 0.0532] | gripper=0.0 | retries=0
[038] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.1948, 0.0526] | gripper=0.0 | retries=0
[039] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.1946, 0.052] | gripper=0.0 | retries=0
[040] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.1943, 0.0514] | gripper=0.0 | retries=0
[041] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.194, 0.0509] | gripper=0.0 | retries=0
[042] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0088, 0.1937, 0.0503] | gripper=0.0 | retries=0
[043] OK | final_delta=[-0.0, -0.0, 0.0] | move=[-0.0, -0.0, 0.0] | target=[-0.0087, 0.1934, 0.0498] | gripper=1.0 | retries=0

[STOP] interrupted by user
